stage,platform,model,dataset,num_topics,coherence_cv,topic_diversity,notes
3,colab,LDA,Wiki:clean_text,10,0.3326178750238741,,
3,colab,LDA,Wiki:clean_text,20,0.3600772056244028,,
3,colab,LDA,Wiki:clean_text,30,0.3717940349574228,,
3,colab,LDA,Wiki:lemma_text,10,0.4644706076170154,,
3,colab,LDA,Wiki:lemma_text,20,0.49857999048355445,,
3,colab,LDA,Wiki:lemma_text,30,0.48250268373200444,,
3,colab,LDA,UGC:clean_text,6,0.5009550303380877,,
3,colab,LDA,UGC:clean_text,10,0.46471140812580514,,
3,colab,LDA,UGC:clean_text,14,0.4579664725506433,,
3,colab,LDA,UGC:lemma_text,6,0.40395898267401814,,
3,colab,LDA,UGC:lemma_text,10,0.40539815136520607,,
3,colab,LDA,UGC:lemma_text,14,0.40926093644436135,,
3,colab,LSA,Wiki:clean_text,10,0.4989579295193661,,
3,colab,LSA,Wiki:clean_text,20,0.37163508727695305,,
3,colab,LSA,Wiki:clean_text,30,0.36290780537245343,,
3,colab,LSA,Wiki:lemma_text,10,0.35511855098202405,,
3,colab,LSA,Wiki:lemma_text,20,0.30354262078516314,,
3,colab,LSA,Wiki:lemma_text,30,0.2889956606254721,,
3,colab,LSA,UGC:clean_text,6,0.4315747221571862,,
3,colab,LSA,UGC:clean_text,10,0.3822024573971722,,
3,colab,LSA,UGC:clean_text,14,0.4069836665597783,,
3,colab,LSA,UGC:lemma_text,6,0.478763005350624,,
3,colab,LSA,UGC:lemma_text,10,0.42334848771777533,,
3,colab,LSA,UGC:lemma_text,14,0.3693369753474374,,
3,colab,NMF,Wiki:clean_text,10,0.592718150485392,,
3,colab,NMF,Wiki:clean_text,20,0.64521640076509,,
3,colab,NMF,Wiki:clean_text,30,0.6625470811182026,,
3,colab,NMF,Wiki:lemma_text,10,0.6998438681730437,,
3,colab,NMF,Wiki:lemma_text,20,0.6800041264549107,,
3,colab,NMF,Wiki:lemma_text,30,0.6801377262385794,,
3,colab,NMF,UGC:clean_text,6,0.3971112474479665,,
3,colab,NMF,UGC:clean_text,10,0.3439229272303628,,
3,colab,NMF,UGC:clean_text,14,0.3664707696816305,,
3,colab,NMF,UGC:lemma_text,6,0.46458524000846885,,
3,colab,NMF,UGC:lemma_text,10,0.41996416557108346,,
3,colab,NMF,UGC:lemma_text,14,0.39674406742956564,,
